STATUS | wrapper  | 2014/11/06 10:08:59 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/11/06 10:08:59 | Launching a JVM...
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [pmd/java] done: 759 ms
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java] done: 36 ms
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [squid/java]...
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [squid/java] done: 224 ms
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [common-java/java]...
2014.11.06 10:09:18 INFO  org.sonar.INFO  Register rules [common-java/java] done: 12 ms
2014.11.06 10:09:18 INFO  o.s.s.s.RegisterRules  Removing deprecated rules
2014.11.06 10:09:18 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles...
2014.11.06 10:09:20 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sonar way with Findbugs
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sonar way
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewProfiles  Set default java profile: Sonar way
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles done: 3053 ms
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models...
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models done: 0 ms
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters...
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filter: Projects
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filter: My favourites
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters done: 37 ms
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards...
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Dashboard
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Home
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Hotspots
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Issues
2014.11.06 10:09:21 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: TimeMachine
2014.11.06 10:09:22 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards done: 186 ms
2014.11.06 10:09:22 INFO  o.s.s.s.RegisterPermissionTemplates  Register permission templates...
2014.11.06 10:09:22 INFO  o.s.s.s.RegisterPermissionTemplates  Set default permission template: default_template
2014.11.06 10:09:22 INFO  o.s.s.s.RegisterPermissionTemplates  Register permission templates done: 29 ms
2014.11.06 10:09:22 INFO  o.s.s.s.RenameDeprecatedPropertyKeys  Rename deprecated property keys
2014.11.06 10:09:22 INFO  org.sonar.INFO  Start components done: 7689 ms
INFO   | jvm 1    | 2014/11/06 10:09:22 | 2014-11-06 10:09:22.102:INFO:oejsh.ContextHandler:started o.e.j.w.WebAppContext{/,file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/},file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server
INFO   | jvm 1    | 2014/11/06 10:09:22 | 2014-11-06 10:09:22.240:INFO:oejs.AbstractConnector:Started SelectChannelConnector@0.0.0.0:9000
STATUS | wrapper  | 2014/11/06 10:13:01 | TERM trapped.  Shutting down.
INFO   | jvm 1    | 2014/11/06 10:13:01 | 2014-11-06 10:13:01.859:INFO:oejs.Server:Graceful shutdown SelectChannelConnector@0.0.0.0:9000
INFO   | jvm 1    | 2014/11/06 10:13:01 | 2014-11-06 10:13:01.860:INFO:oejs.Server:Graceful shutdown o.e.j.w.WebAppContext{/,file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/},file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server
2014.11.06 10:13:02 INFO  org.sonar.INFO  Stop sonar...
2014.11.06 10:13:02 INFO  o.s.s.n.NotificationService  Notification service stopped
2014.11.06 10:13:02 INFO  o.s.s.d.EmbeddedDatabase  Embedded database stopped
2014.11.06 10:13:02 INFO  org.sonar.INFO  Stop sonar done: 9 ms
INFO   | jvm 1    | 2014/11/06 10:13:02 | 2014-11-06 10:13:02.901:INFO:oejsh.ContextHandler:stopped o.e.j.w.WebAppContext{/,file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/},file:/home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server
STATUS | wrapper  | 2014/11/06 10:13:02 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/11/06 10:13:05 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2014/11/06 10:13:05 | Launching a JVM...
INFO   | jvm 1    | 2014/11/06 10:13:05 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2014/11/06 10:13:05 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2014/11/06 10:13:05 | 
INFO   | jvm 1    | 2014/11/06 10:13:06 | 2014-11-06 10:13:06.012:INFO:oejs.Server:jetty-7.6.11.v20130520
2014.11.06 10:13:08 INFO  o.s.s.p.ServerImpl  SonarQube Server / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:08 INFO  o.s.s.d.EmbeddedDatabase  Starting embedded database on port 9092 with url jdbc:h2:tcp://localhost:9092/sonar
2014.11.06 10:13:08 INFO  o.s.s.d.EmbeddedDatabase  Embedded database started. Data stored in: /home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/data
2014.11.06 10:13:08 WARN  o.s.c.p.DefaultDatabase  H2 database should be used for evaluation purpose only
2014.11.06 10:13:08 INFO  o.s.c.p.Database  Create JDBC datasource for jdbc:h2:tcp://localhost:9092/sonar
2014.11.06 10:13:10 INFO  o.s.s.p.DefaultServerFileSystem  SonarQube home: /home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4
2014.11.06 10:13:10 INFO  o.s.s.p.DefaultServerFileSystem  Deploy dir: /home/wout/Desktop/GitHub/OSS_1415/sonar-3.7.4/war/sonar-server/deploy
2014.11.06 10:13:10 INFO  org.sonar.INFO  Install plugins...
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Findbugs / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin JaCoCo / 1.3 / 4d7d78e9340e39f53bbf202ed16d1253e6507c36
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin English Pack / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
2014.11.06 10:13:10 INFO  o.s.s.p.PluginDeployer  Deploy plugin Maven Batch Plugin / 3.7.4 / d25bc0e2a151ba7374f72ce7b1e7ee547ccb8a9f
